"cpu_id", "freq", "sample_id", "time_passed"
"cpu000", 0.773100,       0,     0
"cpu001", 0.716439,       0,     0
"cpu002", 1.367563,       0,     0
"cpu003", 0.637066,       0,     0
"cpu000", 0.870582,       1,     0
"cpu001", 1.029502,       1,     0
"cpu002", 0.538123,       1,     0
"cpu003", 0.637066,       1,     0
"cpu000", 0.494910,       2,     0
"cpu001", 0.518386,       2,     0
"cpu002", 0.480000,       2,     0
"cpu003", 0.497999,       2,     0
"cpu000", 0.494910,       3,     0
"cpu001", 0.518386,       3,     0
"cpu002", 0.480000,       3,     0
"cpu003", 0.497999,       3,     0
"cpu000", 0.482872,       4,     0
"cpu001", 0.481909,       4,     0
"cpu002", 0.480000,       4,     0
"cpu003", 0.480000,       4,     0
"cpu000", 0.480000,       5,     0
"cpu001", 0.480003,       5,     0
"cpu002", 0.480000,       5,     0
"cpu003", 0.480000,       5,     0
"cpu000", 0.480000,       6,     0
"cpu001", 0.480000,       6,     0
"cpu002", 0.480000,       6,     0
"cpu003", 0.480000,       6,     0
"cpu000", 0.480000,       7,     0
"cpu001", 0.480000,       7,     0
"cpu002", 0.480000,       7,     0
"cpu003", 0.480000,       7,     0
"cpu000", 0.480000,       8,     0
"cpu001", 0.480000,       8,     0
"cpu002", 0.480000,       8,     0
"cpu003", 0.480000,       8,     0
"cpu000", 0.480000,       9,     0
"cpu001", 0.480000,       9,     0
"cpu002", 0.480000,       9,     0
"cpu003", 0.480000,       9,     0
"cpu000", 0.480000,      10,     0
"cpu001", 0.479996,      10,     0
"cpu002", 0.480000,      10,     0
"cpu003", 0.480000,      10,     0
"cpu000", 0.480000,      11,     0
"cpu001", 0.480002,      11,     0
"cpu002", 0.480000,      11,     0
"cpu003", 0.480000,      11,     0
"cpu000", 0.479982,      12,     0
"cpu001", 0.480003,      12,     0
"cpu002", 0.480000,      12,     0
"cpu003", 0.480000,      12,     0
"cpu000", 0.479982,      13,     0
"cpu001", 0.480003,      13,     0
"cpu002", 0.480000,      13,     0
"cpu003", 0.480000,      13,     0
"cpu000", 0.482079,      14,     0
"cpu001", 0.489101,      14,     0
"cpu002", 0.480000,      14,     0
"cpu003", 0.480000,      14,     0
"cpu000", 0.482079,      15,     0
"cpu001", 0.489101,      15,     0
"cpu002", 0.480000,      15,     0
"cpu003", 0.480000,      15,     0
"cpu000", 0.485664,      16,     0
"cpu001", 0.492056,      16,     0
"cpu002", 0.480000,      16,     0
"cpu003", 0.480000,      16,     0
"cpu000", 0.480000,      17,     0
"cpu001", 0.480005,      17,     0
"cpu002", 0.480000,      17,     0
"cpu003", 0.480000,      17,     0
"cpu000", 0.480000,      18,     0
"cpu001", 0.479996,      18,     0
"cpu002", 0.480000,      18,     0
"cpu003", 0.480000,      18,     0
"cpu000", 0.480000,      19,     0
"cpu001", 0.480003,      19,     0
"cpu002", 0.480000,      19,     0
"cpu003", 0.479913,      19,     0
"cpu000", 0.480000,      20,     0
"cpu001", 0.480003,      20,     0
"cpu002", 0.480000,      20,     0
"cpu003", 0.479913,      20,     0
"cpu000", 0.480000,      21,     0
"cpu001", 0.480000,      21,     0
"cpu002", 0.480000,      21,     0
"cpu003", 0.480092,      21,     0
"cpu000", 0.480000,      22,     0
"cpu001", 0.480000,      22,     0
"cpu002", 0.480000,      22,     0
"cpu003", 0.480092,      22,     0
"cpu000", 0.482832,      23,     0
"cpu001", 0.496958,      23,     0
"cpu002", 0.480000,      23,     0
"cpu003", 0.480000,      23,     0
"cpu000", 0.482832,      24,     0
"cpu001", 0.496958,      24,     0
"cpu002", 0.480000,      24,     0
"cpu003", 0.480000,      24,     0
"cpu000", 0.487553,      25,     0
"cpu001", 0.487279,      25,     0
"cpu002", 0.480000,      25,     0
"cpu003", 0.480000,      25,     0
"cpu000", 0.480000,      26,     0
"cpu001", 0.480006,      26,     0
"cpu002", 0.480000,      26,     0
"cpu003", 0.480000,      26,     0
"cpu000", 0.482861,      27,     0
"cpu001", 0.502822,      27,     0
"cpu002", 0.480000,      27,     0
"cpu003", 0.480000,      27,     0
"cpu000", 0.533281,      28,     0
"cpu001", 0.514324,      28,     0
"cpu002", 0.480000,      28,     0
"cpu003", 0.480000,      28,     0
"cpu000", 0.533281,      29,     0
"cpu001", 0.514324,      29,     0
"cpu002", 0.480000,      29,     0
"cpu003", 0.480000,      29,     0
"cpu000", 0.480000,      30,     0
"cpu001", 0.480003,      30,     0
"cpu002", 0.480000,      30,     0
"cpu003", 0.479989,      30,     0
"cpu000", 0.479992,      31,     0
"cpu001", 0.479992,      31,     0
"cpu002", 0.480000,      31,     0
"cpu003", 0.480091,      31,     0
"cpu000", 0.480021,      32,     0
