"cpu_id", "freq", "sample_id", "time_passed"
"cpu003", 1073181,     0 ,    0
"cpu002", 734260,     0 ,    0
"cpu001", 491934,     0 ,    0
"cpu000", 501448,     0 ,    0
"cpu003", 499804,     1 ,    0
"cpu002", 480000,     1 ,    0
"cpu001", 534059,     1 ,    0
"cpu000", 482063,     1 ,    0
"cpu003", 480000,     2 ,    0
"cpu002", 480000,     2 ,    0
"cpu001", 480000,     2 ,    0
"cpu000", 480005,     2 ,    0
"cpu003", 480000,     3 ,    0
"cpu002", 480000,     3 ,    0
"cpu001", 480000,     3 ,    0
"cpu000", 480000,     3 ,    0
"cpu003", 480000,     4 ,    0
"cpu002", 480000,     4 ,    0
"cpu001", 480089,     4 ,    0
"cpu000", 479992,     4 ,    0
"cpu003", 480000,     5 ,    0
"cpu002", 480000,     5 ,    0
"cpu001", 479973,     5 ,    0
"cpu000", 480005,     5 ,    0
"cpu003", 480000,     6 ,    0
"cpu002", 480000,     6 ,    0
"cpu001", 480000,     6 ,    0
"cpu000", 480005,     6 ,    0
"cpu003", 480000,     7 ,    0
"cpu002", 480000,     7 ,    0
"cpu001", 479990,     7 ,    0
"cpu000", 479987,     7 ,    0
"cpu003", 480000,     8 ,    0
"cpu002", 479854,     8 ,    0
"cpu001", 480106,     8 ,    0
"cpu000", 480000,     8 ,    0
"cpu003", 480000,     9 ,    0
"cpu002", 480000,     9 ,    0
"cpu001", 480000,     9 ,    0
"cpu000", 480004,     9 ,    0
"cpu003", 480000,    10 ,    0
"cpu002", 480150,    10 ,    0
"cpu001", 479908,    10 ,    0
"cpu000", 479993,    10 ,    0
"cpu003", 480000,    11 ,    0
"cpu002", 480000,    11 ,    0
"cpu001", 480116,    11 ,    0
"cpu000", 480005,    11 ,    0
"cpu003", 480000,    12 ,    0
"cpu002", 480000,    12 ,    0
"cpu001", 480000,    12 ,    0
"cpu000", 479995,    12 ,    0
"cpu003", 480000,    13 ,    0
"cpu002", 480000,    13 ,    0
"cpu001", 479900,    13 ,    0
"cpu000", 480000,    13 ,    0
"cpu003", 480000,    14 ,    0
"cpu002", 480000,    14 ,    0
"cpu001", 480116,    14 ,    0
"cpu000", 480005,    14 ,    0
"cpu003", 480000,    15 ,    0
"cpu002", 480000,    15 ,    0
"cpu001", 480000,    15 ,    0
"cpu000", 480000,    15 ,    0
"cpu003", 480000,    16 ,    0
"cpu002", 480000,    16 ,    0
"cpu001", 480000,    16 ,    0
"cpu000", 480000,    16 ,    0
"cpu003", 480000,    17 ,    0
"cpu002", 480000,    17 ,    0
"cpu001", 479989,    17 ,    0
"cpu000", 480000,    17 ,    0
"cpu003", 480000,    18 ,    0
"cpu002", 479842,    18 ,    0
"cpu001", 480039,    18 ,    0
"cpu000", 479994,    18 ,    0
"cpu003", 480000,    19 ,    0
"cpu002", 480151,    19 ,    0
"cpu001", 480000,    19 ,    0
"cpu000", 480000,    19 ,    0
"cpu003", 480000,    20 ,    0
"cpu002", 480000,    20 ,    0
"cpu001", 480000,    20 ,    0
"cpu000", 480005,    20 ,    0
"cpu003", 480000,    21 ,    0
"cpu002", 480000,    21 ,    0
"cpu001", 480000,    21 ,    0
"cpu000", 479995,    21 ,    0
"cpu003", 480000,    22 ,    0
"cpu002", 480000,    22 ,    0
"cpu001", 480000,    22 ,    0
"cpu000", 480000,    22 ,    0
"cpu003", 480000,    23 ,    0
"cpu002", 567280,    23 ,    0
"cpu001", 479884,    23 ,    0
"cpu000", 480000,    23 ,    0
"cpu003", 480000,    24 ,    0
"cpu002", 480000,    24 ,    0
"cpu001", 480000,    24 ,    0
"cpu000", 480006,    24 ,    0
"cpu003", 480000,    25 ,    0
"cpu002", 480000,    25 ,    0
"cpu001", 480006,    25 ,    0
"cpu000", 479992,    25 ,    0
"cpu003", 480000,    26 ,    0
"cpu002", 480000,    26 ,    0
"cpu001", 480000,    26 ,    0
"cpu000", 480000,    26 ,    0
"cpu003", 480000,    27 ,    0
"cpu002", 480000,    27 ,    0
"cpu001", 479882,    27 ,    0
"cpu000", 480000,    27 ,    0
"cpu003", 480000,    28 ,    0
"cpu002", 480000,    28 ,    0
"cpu001", 480117,    28 ,    0
"cpu000", 480000,    28 ,    0
"cpu003", 480000,    29 ,    0
"cpu002", 480000,    29 ,    0
"cpu001", 480000,    29 ,    0
"cpu000", 480006,    29 ,    0
"cpu003", 480000,    30 ,    0
"cpu002", 480000,    30 ,    0
"cpu001", 480000,    30 ,    0
"cpu000", 479993,    30 ,    0
"cpu003", 480016,    31 ,    0
"cpu002", 480000,    31 ,    0
"cpu001", 480000,    31 ,    0
"cpu000", 480016,    31 ,    0
"cpu003", 479869,    32 ,    0
"cpu002", 480000,    32 ,    0
"cpu001", 480000,    32 ,    0
"cpu000", 479993,    32 ,    0
"cpu003", 480000,    33 ,    0
"cpu002", 480000,    33 ,    0
"cpu001", 479891,    33 ,    0
"cpu000", 480000,    33 ,    0
"cpu003", 480000,    34 ,    0
"cpu002", 480000,    34 ,    0
"cpu001", 480019,    34 ,    0
"cpu000", 479992,    34 ,    0
"cpu003", 480000,    35 ,    0
"cpu002", 480000,    35 ,    0
"cpu001", 479988,    35 ,    0
"cpu000", 480006,    35 ,    0
"cpu003", 480000,    36 ,    0
"cpu002", 480000,    36 ,    0
"cpu001", 480000,    36 ,    0
"cpu000", 479991,    36 ,    0
"cpu003", 480000,    37 ,    0
"cpu002", 480000,    37 ,    0
"cpu001", 480000,    37 ,    0
"cpu000", 480005,    37 ,    0
"cpu003", 480000,    38 ,    0
"cpu002", 480000,    38 ,    0
"cpu001", 480000,    38 ,    0
"cpu000", 480000,    38 ,    0
"cpu003", 480000,    39 ,    0
"cpu002", 480000,    39 ,    0
"cpu001", 480000,    39 ,    0
"cpu000", 480000,    39 ,    0
"cpu003", 480000,    40 ,    0
"cpu002", 480000,    40 ,    0
"cpu001", 480019,    40 ,    0
"cpu000", 480000,    40 ,    0
"cpu003", 480000,    41 ,    0
"cpu002", 480000,    41 ,    0
"cpu001", 479484,    41 ,    0
