"cpu_id", "freq", "log_id"
"cpu0", 0.801764, 0
"cpu1", 1.696777, 0
"cpu2", 0.555060, 0
"cpu3", 0.483917, 0
"cpu0", 1.270826, 1
"cpu1", 1.415274, 1
"cpu2", 0.495857, 1
"cpu3", 0.483917, 1
"cpu0", 1.270826, 2
"cpu1", 1.415274, 2
"cpu2", 0.495857, 2
"cpu3", 0.480000, 2
"cpu0", 0.480000, 3
"cpu1", 0.485460, 3
"cpu2", 0.480000, 3
"cpu3", 0.480000, 3
"cpu0", 0.480000, 4
"cpu1", 0.485460, 4
"cpu2", 0.480000, 4
"cpu3", 0.502556, 4
"cpu0", 0.480000, 5
"cpu1", 0.480000, 5
"cpu2", 0.502018, 5
"cpu3", 0.534772, 5
"cpu0", 0.480000, 6
"cpu1", 0.480000, 6
"cpu2", 0.502018, 6
"cpu3", 0.534772, 6
"cpu0", 0.480000, 7
"cpu1", 0.480000, 7
"cpu2", 0.480001, 7
"cpu3", 0.480000, 7
"cpu0", 0.480000, 8
"cpu1", 0.480000, 8
"cpu2", 0.480001, 8
"cpu3", 0.480000, 8
"cpu0", 0.480000, 9
"cpu1", 0.480000, 9
"cpu2", 0.479996, 9
"cpu3", 0.480000, 9
"cpu0", 0.480000, 10
"cpu1", 0.480000, 10
"cpu2", 0.479996, 10
"cpu3", 0.480000, 10
"cpu0", 0.479893, 11
"cpu1", 0.480000, 11
"cpu2", 0.501708, 11
"cpu3", 0.480000, 11
"cpu0", 0.479893, 12
"cpu1", 0.480000, 12
"cpu2", 0.501708, 12
"cpu3", 0.480000, 12
"cpu0", 0.480024, 13
"cpu1", 0.480000, 13
"cpu2", 0.479997, 13
"cpu3", 0.480000, 13
"cpu0", 0.480024, 14
"cpu1", 0.480000, 14
"cpu2", 0.479997, 14
"cpu3", 0.480000, 14
"cpu0", 0.479964, 15
"cpu1", 0.480000, 15
"cpu2", 0.479998, 15
"cpu3", 0.480000, 15
"cpu0", 0.479964, 16
"cpu1", 0.480000, 16
"cpu2", 0.479998, 16
"cpu3", 0.480000, 16
"cpu0", 0.480094, 17
"cpu1", 0.480000, 17
"cpu2", 0.480001, 17
"cpu3", 0.480000, 17
"cpu0", 0.480094, 18
"cpu1", 0.480000, 18
"cpu2", 0.480001, 18
"cpu3", 0.480000, 18
"cpu0", 0.480000, 19
"cpu1", 0.480000, 19
"cpu2", 0.480000, 19
"cpu3", 0.479880, 19
"cpu0", 0.480000, 20
"cpu1", 0.480000, 20
"cpu2", 0.480000, 20
"cpu3", 0.479880, 20
"cpu0", 0.479915, 21
"cpu1", 0.480000, 21
"cpu2", 0.480000, 21
"cpu3", 0.480000, 21
"cpu0", 0.479915, 22
"cpu1", 0.480000, 22
"cpu2", 0.480000, 22
"cpu3", 0.480000, 22
"cpu0", 0.480000, 23
"cpu1", 0.480000, 23
"cpu2", 0.480000, 23
"cpu3", 0.480132, 23
"cpu0", 0.480000, 24
